Time,Quadrant,Ball Colour,Event Type
0.0,1,red,Entry
0.0,0,red,Entry
0.0,2,red,Entry
0.0,2,blue,Entry
0.03333333333333333,0,red,Entry
0.03333333333333333,3,blue,Entry
0.03333333333333333,2,blue,Entry
0.06666666666666667,3,blue,Entry
0.06666666666666667,2,blue,Entry
0.1,3,blue,Entry
0.1,2,blue,Entry
0.13333333333333333,2,red,Entry
0.13333333333333333,0,red,Entry
0.13333333333333333,3,blue,Entry
0.13333333333333333,2,blue,Entry
0.16666666666666666,1,red,Entry
0.16666666666666666,2,red,Entry
0.16666666666666666,3,blue,Entry
0.16666666666666666,2,blue,Entry
0.2,1,red,Entry
0.2,0,red,Entry
0.2,2,red,Entry
0.2,3,blue,Entry
0.2,2,blue,Entry
0.23333333333333334,0,red,Entry
0.23333333333333334,2,red,Entry
0.23333333333333334,3,blue,Entry
0.23333333333333334,2,blue,Entry
0.26666666666666666,1,red,Entry
0.26666666666666666,2,red,Entry
0.26666666666666666,3,blue,Entry
0.26666666666666666,2,blue,Entry
0.3,1,red,Entry
0.3,0,red,Entry
0.3,3,blue,Entry
0.3,2,blue,Entry
0.3333333333333333,1,red,Entry
0.3333333333333333,0,red,Entry
0.3333333333333333,2,red,Entry
0.3333333333333333,3,blue,Entry
0.3333333333333333,2,blue,Entry
0.36666666666666664,3,blue,Entry
0.36666666666666664,2,blue,Entry
0.4,1,red,Entry
0.4,0,red,Entry
0.4,2,red,Entry
0.4,3,blue,Entry
0.4,2,blue,Entry
0.43333333333333335,1,red,Entry
0.43333333333333335,0,red,Entry
0.43333333333333335,2,red,Entry
0.43333333333333335,3,blue,Entry
0.43333333333333335,2,blue,Entry
0.4666666666666667,3,blue,Entry
0.4666666666666667,2,blue,Entry
0.5,1,red,Entry
0.5,0,red,Entry
0.5,2,red,Entry
0.5,3,blue,Entry
0.5,2,blue,Entry
0.5333333333333333,1,red,Entry
0.5333333333333333,2,red,Entry
0.5333333333333333,3,blue,Entry
0.5333333333333333,2,blue,Entry
0.5666666666666667,1,red,Entry
0.5666666666666667,0,red,Entry
0.5666666666666667,2,red,Entry
0.5666666666666667,3,blue,Entry
0.5666666666666667,2,blue,Entry
0.6,1,red,Entry
0.6,2,red,Entry
0.6,3,blue,Entry
0.6,2,blue,Entry
0.6333333333333333,1,red,Entry
0.6333333333333333,2,red,Entry
0.6333333333333333,3,blue,Entry
0.6333333333333333,2,blue,Entry
0.6666666666666666,1,red,Entry
0.6666666666666666,3,blue,Entry
0.6666666666666666,2,blue,Entry
0.7,2,red,Entry
0.7,3,blue,Entry
0.7,2,blue,Entry
0.7333333333333333,1,red,Entry
0.7333333333333333,3,red,Entry
0.7333333333333333,1,red,Entry
0.7333333333333333,0,red,Entry
0.7333333333333333,2,red,Entry
0.7333333333333333,3,blue,Entry
0.7333333333333333,2,blue,Entry
0.7666666666666667,1,red,Entry
0.7666666666666667,0,red,Entry
0.7666666666666667,2,red,Entry
0.7666666666666667,3,blue,Entry
0.7666666666666667,2,blue,Entry
0.8,1,red,Entry
0.8,0,red,Entry
0.8,2,red,Entry
0.8,3,blue,Entry
0.8,2,blue,Entry
0.8333333333333334,1,red,Entry
0.8333333333333334,2,red,Entry
0.8333333333333334,3,blue,Entry
0.8333333333333334,2,blue,Entry
0.8666666666666667,1,red,Entry
0.8666666666666667,0,red,Entry
0.8666666666666667,2,red,Entry
0.8666666666666667,3,blue,Entry
0.8666666666666667,2,blue,Entry
